id,timestamp,vehicle_id,latitude,longitude,altitude,speed,rpm,engine_temp,throttle_pos,engine_load,fuel_level,fl_pressure,fl_temp,fl_battery,fr_pressure,fr_temp,fr_battery,rl_pressure,rl_temp,rl_battery,rr_pressure,rr_temp,rr_battery
71,2025-11-07 04:17:47+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9728665,107.647146,698.5,0,703,88,15.68627,29.41176,,26.97607,37,105,26.39594,37,101,25.96084,32,113,,,
72,2025-11-07 04:17:51+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972868333,107.6471482,697.1,0,707,88,15.68627,29.01961,,26.97607,37,105,26.39594,37,101,25.96084,32,113,,,
73,2025-11-07 04:17:57+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972867833,107.6471503,696,0,702,90,15.68627,29.01961,,,,,26.39594,37,101,25.96084,32,113,,,
74,2025-11-07 04:18:02+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972867,107.6471517,695,0,700,90,15.68627,29.41176,,,,,26.39594,37,101,25.96084,32,113,,,
75,2025-11-07 04:18:07+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972866,107.647153,694.2,0,703,90,15.29412,29.01961,,,,,26.39594,37,101,,,,,,
76,2025-11-07 04:18:12+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972865833,107.6471528,693.7,0,702,90,15.29412,29.01961,,,,,26.39594,37,101,,,,,,
77,2025-11-07 04:18:17+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972865,107.6471515,693.2,0,702,90,15.29412,29.01961,,,,,26.39594,37,101,,,,,,
78,2025-11-07 04:18:22+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972865333,107.647152,692.9,0,708,90,15.29412,29.01961,,,,,26.39594,37,101,,,,,,
79,2025-11-07 04:18:32+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972867667,107.6471503,693.2,0,704,91,15.29412,29.01961,,,,,26.54097,36,101,25.96084,32,113,,,
80,2025-11-07 04:18:27+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972867333,107.6471522,692.5,0,705,90,15.68627,29.01961,,,,,26.39594,37,101,25.96084,32,113,,,
81,2025-11-07 04:18:37+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972869,107.6471488,693.7,0,704,91,15.29412,29.01961,,,,,26.54097,36,101,25.96084,32,113,,,
82,2025-11-07 04:18:42+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972870667,107.6471468,693.5,0,705,91,15.68627,28.62745,,,,,26.54097,36,101,25.96084,32,113,,,
83,2025-11-07 04:18:47+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972871333,107.6471453,693.6,0,702,91,15.68627,28.62745,,,,,26.54097,36,101,25.96084,32,113,,,
84,2025-11-07 04:18:52+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972871333,107.6471437,693.8,0,718,91,15.68627,27.84314,,,,,26.54097,36,101,25.96084,32,113,,,
85,2025-11-07 04:18:57+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972870833,107.6471427,694.2,0,703,91,15.29412,28.62745,,,,,26.54097,36,101,25.96084,32,113,,,
86,2025-11-07 04:19:02+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972870333,107.6471415,694.5,0,698,91,15.68627,29.01961,,,,,26.54097,36,101,25.96084,32,113,,,
87,2025-11-07 04:19:07+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9728695,107.6471422,695.1,0,698,91,15.68627,29.01961,,,,,26.54097,36,101,25.96084,32,113,25.96084,34,109
88,2025-11-07 04:19:12+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9728685,107.6471428,695.3,0,695,91,15.68627,29.01961,,,,,26.54097,36,101,25.96084,32,113,25.96084,33,109
89,2025-11-07 04:19:17+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972866667,107.647144,695.4,0,697,91,15.29412,28.62745,,,,,26.54097,36,101,25.96084,32,113,25.96084,33,109
90,2025-11-07 04:19:22+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972865167,107.647146,695.3,0,696,91,15.29412,28.62745,,,,,26.54097,36,101,25.96084,32,113,25.96084,33,109
91,2025-11-07 04:19:27+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972863833,107.6471468,695.3,0,715,91,15.68627,28.23529,,,,,26.54097,36,101,25.96084,32,113,25.96084,33,109
