timestamp,latitude,longitude,altitude,speed,engine_load,fl_pressure,fl_temp,fr_pressure,fr_temp,rl_pressure,rl_temp,rr_pressure,rr_temp,distance_traveled_m,sum_distance_traveled_m,elevation_traveled_m,tr_fl,tr_fr,tr_rl,tr_rr
2025-11-24 09:55:17+00,-6.96067,107.6956622,687.3,14,50.98039,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,45.96586691585672,21392.67170980527,1.1999999999999318,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:55:22+00,-6.960728,107.6954942,686.4,16,64.70588,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,19.632619220488774,21412.304329025756,-0.8999999999999773,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:55:48+00,-6.960485,107.695459,686.7,28,85.4902,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,27.298300055164344,21439.60262908092,0.3000000000000682,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:55:53+00,-6.9604665,107.69579,687.3,31,45.88235,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,36.59218210240849,21476.19481118333,0.599999999999909,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:55:58+00,-6.960404833,107.6961702,687.1,27,45.88235,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,42.521329195753964,21518.716140379085,-0.1999999999999318,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:56:03+00,-6.960347167,107.6965202,686.9,26,48.23529,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,39.159999232925756,21557.87613961201,-0.20000000000004547,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:56:08+00,-6.960291167,107.6968415,686.5,27,75.68627,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,36.006213082994115,21593.882352695004,-0.39999999999997726,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:56:35+00,-6.959869167,107.6990277,683.4,30,44.70588,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,245.82343920541757,21839.705791900422,-3.1000000000000227,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:56:40+00,-6.959798833,107.6994082,683.7,19,50.19608,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,42.71994442209809,21882.42573632252,0.3000000000000682,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:56:45+00,-6.959750333,107.6996905,684.1,6,65.88235,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,31.622328926694745,21914.048065249215,0.39999999999997726,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:57:11+00,-6.959564667,107.6998562,686.6,6,54.5098,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,27.58113884390394,21941.62920409312,2.5,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:57:16+00,-6.959560167,107.699773,685.8,7,47.84314,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,9.196887551802655,21950.82609164492,-0.8000000000000682,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:57:21+00,-6.959558,107.6996772,687.4,5,50.58823,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,10.576745462962423,21961.402837107886,1.6000000000000227,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:57:26+00,-6.959559167,107.6995995,689.8,5,68.23529,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,8.57718026991568,21969.980017377802,2.3999999999999773,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:57:48+00,-6.959634333,107.699464,0.0,1,58.82353,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,17.132925526583364,21987.112942904387,-689.8,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:57:53+00,-6.959611667,107.699481,690.1,1,58.03922,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,3.1421306171086885,21990.255073521494,690.1,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 09:58:01+00,-6.9596015,107.6994925,689.3,1,59.21569,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,1.6997803346995062,21991.954853856194,-0.8000000000000682,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 10:34:00+00,-6.959615833,107.6995172,689.0,5,58.82353,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,3.157954965709405,21995.112808821905,-0.2999999999999545,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 10:34:05+00,-6.9596135,107.6995655,688.9,6,51.37255,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,5.337457866310626,22000.450266688214,-0.10000000000002274,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 10:34:07+00,-6.959604167,107.6995992,688.8,7,58.03922,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,3.8617214165873595,22004.3119881048,-0.10000000000002274,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 10:34:12+00,-6.959591667,107.699692,689.8,8,52.94118,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,10.336747960417092,22014.648736065217,1.0,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 10:34:17+00,-6.959581333,107.6998007,689.6,11,41.56863,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,12.052748522198602,22026.701484587415,-0.1999999999999318,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
2025-11-24 10:34:22+00,-6.959559167,107.6999425,689.7,7,61.17647,26.83104,36.0,29.73169,43.0,29.44162,30.0,23.78535,30.0,15.844170878089063,22042.545655465503,0.10000000000002274,3.0119452074027196e-07,1.3252560539022114e-06,9.63822592870584e-07,5.42150191547441e-07
