timestamp,latitude,longitude,altitude,speed,engine_load,fl_pressure,fl_temp,fr_pressure,fr_temp,rl_pressure,rl_temp,rr_pressure,rr_temp,distance_traveled_m,sum_distance_traveled_m,elevation_traveled_m,tr_fl,tr_fr,tr_rl,tr_rr
2025-11-24 07:18:59+00,-6.9562995,107.6943377,663.4,1,59.21569,27.41117,47.0,29.44162,38.0,30.31182,37.0,24.07542,34.0,2.6817902134845752,2.6817902134845752,0.6999999999999318,3.7321045765632624e-07,4.70569703246715e-07,3.245307861815158e-07,3.5698388427151384e-07
2025-11-24 07:20:37+00,-6.956309,107.6943227,698.8,1,75.68627,27.41117,47.0,29.44162,38.0,30.31182,37.0,24.07542,34.0,1.9639382417329494,4.645728455217524,35.39999999999998,3.7321045765632624e-07,4.70569703246715e-07,3.245307861815158e-07,3.5698388427151384e-07
2025-11-24 07:20:38+00,-6.95631,107.694318,698.4,4,72.94118,27.41117,47.0,29.44162,38.0,30.31182,37.0,24.07542,34.0,0.5305529556406979,5.1762814108582225,-0.39999999999997726,3.7321045765632624e-07,4.70569703246715e-07,3.245307861815158e-07,3.5698388427151384e-07
2025-11-24 07:20:43+00,-6.956315667,107.694279,698.3,8,56.86274,27.41117,47.0,29.44162,38.0,30.31182,37.0,24.07542,34.0,4.350562752103659,9.526844162961883,-0.10000000000002274,3.7321045765632624e-07,4.70569703246715e-07,3.245307861815158e-07,3.5698388427151384e-07
2025-11-24 07:20:48+00,-6.9562335,107.6942618,697.8,6,51.76471,27.41117,47.0,29.44162,38.0,30.31182,37.0,24.07542,34.0,9.331723063320421,18.858567226282304,-0.5,3.7321045765632624e-07,4.70569703246715e-07,3.245307861815158e-07,3.5698388427151384e-07
2025-11-24 07:20:53+00,-6.956165,107.6943105,696.8,16,79.21568,27.41117,47.0,29.44162,38.0,30.31182,37.0,24.07542,34.0,9.322600177861482,28.181167404143785,-1.0,3.7321045765632624e-07,4.70569703246715e-07,3.245307861815158e-07,3.5698388427151384e-07
2025-11-24 07:20:58+00,-6.956037833,107.6942527,696.8,27,89.41177,27.41117,47.0,29.44162,38.0,30.31182,37.0,24.07542,34.0,15.512923085871266,43.69409049001505,0.0,3.7321045765632624e-07,4.70569703246715e-07,3.245307861815158e-07,3.5698388427151384e-07
2025-11-24 07:21:03+00,-6.955756667,107.6941148,698.4,23,43.13726,27.41117,47.0,29.44162,38.0,30.31182,37.0,24.07542,34.0,34.77257472790012,78.46666521791516,1.6000000000000227,3.7321045765632624e-07,4.70569703246715e-07,3.245307861815158e-07,3.5698388427151384e-07
2025-11-24 07:21:08+00,-6.955462167,107.6939903,699.2,10,74.5098,27.41117,47.0,29.44162,38.0,30.31182,37.0,24.07542,34.0,35.51341508890303,113.9800803068182,0.8000000000000682,3.7321045765632624e-07,4.70569703246715e-07,3.245307861815158e-07,3.5698388427151384e-07
2025-11-24 07:21:13+00,-6.955334667,107.693931,700.2,25,89.80392,27.41117,47.0,29.44162,38.0,30.31182,37.0,24.07542,34.0,15.615357861196031,129.59543816801423,1.0,3.7321045765632624e-07,4.70569703246715e-07,3.245307861815158e-07,3.5698388427151384e-07
